0.058715;0.113287;0.017319;-0.054572;0.041396
0.209602;0.188399;0.109216;0.021203;0.100386
0.134563;0.165386;0.041477;-0.030823;0.093086
0.774959;0.773144;0.651971;0.001816;0.122989
0.557638;0.348221;0.237058;0.209417;0.320580
0.958036;0.810964;0.847450;0.147072;0.110586
0.285243;0.220376;0.095217;0.064867;0.190025
0.585443;0.442094;0.380150;0.143349;0.205293
0.175674;0.343060;0.271429;-0.167386;-0.095755
0.199543;0.187606;0.092301;0.011937;0.107242
0.207470;0.183060;0.172110;0.024410;0.035360
0.287014;0.209677;0.138651;0.077337;0.148363
0.161756;0.150704;0.072780;0.011052;0.088976
0.773997;0.807806;0.657326;-0.033809;0.116671
0.152844;0.166380;0.096040;-0.013536;0.056805
0.252135;0.195966;0.181034;0.056169;0.071101
0.115954;0.187527;0.059121;-0.071574;0.056832
0.241693;0.192064;0.190838;0.049629;0.050855
0.291114;0.184074;0.105824;0.107040;0.185290
0.913557;0.774806;0.829591;0.138751;0.083966
0.166031;0.208106;0.047189;-0.042076;0.118842
0.168316;0.166826;0.053834;0.001490;0.114482
0.578292;0.846471;0.657888;-0.268179;-0.079596
0.288326;0.302333;0.201606;-0.014007;0.086720
