0.275567;0.205475
0.246227;0.170193
0.246227;0.149985
0.237405;0.138153
0.201725;0.130830
0.168301;0.126056
0.137517;0.122827
0.126454;0.120569
0.116230;0.118934
0.116230;0.117702
0.115038;0.116733
0.113801;0.115939
0.109943;0.115262
0.103457;0.114664
0.098952;0.114121
0.095465;0.113618
0.095207;0.113144
0.095040;0.112693
0.095040;0.112259
0.095040;0.111842
0.095040;0.111437
0.095040;0.111046
0.095040;0.110666
0.095040;0.110298
0.095040;0.109940
0.095040;0.109592
0.095040;0.109254
0.095040;0.108925
0.095040;0.108604
0.095040;0.108292
